,real,forecast56,forecast84,forecast1092,forecast1456,forecast_averaged
2019-11-29 16:00:00,52.14,52.89970557353639,50.54938999563704,55.747989098974436,53.40612386787009,53.15080213400449
2019-11-29 17:00:00,54.05,58.1125809328226,57.64698853443974,60.07952162182158,58.790435970487316,58.65738176489281
2019-11-29 18:00:00,55.36,54.9629842736315,54.186709560985356,57.529395449735745,57.73452950122896,56.10340469639539
2019-11-29 19:00:00,53.11,49.2385387276255,47.759363737159745,54.939526229093715,54.52747864389632,51.61622683444383
2019-11-29 20:00:00,52.01,45.70731714657555,46.29384128342504,50.17026689850781,50.39819385140703,48.14240479497886
2019-11-29 21:00:00,46.44,39.78265551977115,39.657593157240356,44.816133392834395,45.42557476797099,42.420489209454225
2019-11-29 22:00:00,42.24,36.026607737003616,37.733930718185185,43.54178655550505,44.245159569218636,40.386871144978116
2019-11-29 23:00:00,39.28,31.137959443420357,31.91164124693788,40.94462189341053,41.133596961308704,36.28195488626937
2019-11-30 00:00:00,36.29,30.83383860336841,30.862239573861853,34.939924710830354,35.73490436122063,33.09272681232031
2019-11-30 01:00:00,35.96,27.344841745252943,28.17836066642782,34.39096589360902,34.40039898492772,31.078641822554378
2019-11-30 02:00:00,35.99,25.65274294009543,26.595748848196514,33.23449408946383,33.08355064696468,29.641634131180112
2019-11-30 03:00:00,35.39,25.815714529267193,28.834410408260236,33.07483282426912,32.638480178023855,30.090859484955104
2019-11-30 04:00:00,35.39,28.015512244974232,30.12365173975276,33.14216962152597,33.010457645658434,31.072947812977848
2019-11-30 05:00:00,36.03,28.779898814710805,29.998115449148038,34.135244213935096,34.16928182846486,31.770635076564698
2019-11-30 06:00:00,36.56,34.983737144561026,34.15559608270948,35.76772528653079,37.73763218359027,35.66117267434789
2019-11-30 07:00:00,39.07,40.5463802905745,40.47968784409725,40.21651841868219,39.97537462240805,40.304490293940496
2019-11-30 08:00:00,42.29,42.79580505697826,42.542099211011376,43.87042121405538,44.28308369008028,43.37285229303133
2019-11-30 09:00:00,45.35,44.20864591909864,44.0260917034256,47.1537044318576,46.97710417806285,45.591386558111175
2019-11-30 10:00:00,44.0,43.195723709689254,43.93771740677249,46.20806837699904,45.34456355398726,44.671518261862005
2019-11-30 11:00:00,42.7,43.774262558666145,44.40867708938625,45.412913626004546,44.2509847915096,44.461709516391636
2019-11-30 12:00:00,41.5,41.404074970288775,44.239198409771426,46.24709002129667,44.027974152415155,43.979584388443
2019-11-30 13:00:00,40.77,43.57583626487217,44.228770802569656,46.47925303892227,44.720746257150545,44.75115159087866
2019-11-30 14:00:00,41.14,46.13570486108371,45.65381221977472,49.34899393379825,46.927306200975025,47.01645430390792
2019-11-30 15:00:00,43.02,48.830675057642296,49.33292406630418,50.854162876510685,49.30625468694061,49.58100417184944
2019-11-30 16:00:00,48.99,52.60751651062621,52.4332788893933,53.95040326304734,53.281147263178454,53.06808648156132
2019-11-30 17:00:00,52.9,58.48212392130671,58.67945551604221,58.89901168929044,58.03950105032903,58.5250230442421
